repository,url,description,created_date,last_modified,stars,forks,solution_type,solution_marketing,technical_competencies,solution_competencies,deployment_tools,deployment_level,primary_language,additional_languages,frameworks,aws_services,prerequisites,license,copyright_holder,commercial_use,setup_time,cost_range,customer_problems,usp,freshness_status,days_since_update,genai_agentic,topics,classification_method,classification_timestamp
awslabs/llm-hosting-container,https://github.com/awslabs/llm-hosting-container,Large Language Model Hosting Container,2023-05-18T23:14:47Z,2025-10-09T19:30:58Z,90,49,Innovation Catalysts,innovation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Dockerfile,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,14,Yes,,S3-Based Complete Analysis,2025-10-24T13:23:07.293671
awslabs/backstage-templates-on-eks,https://github.com/awslabs/backstage-templates-on-eks,,2023-05-26T22:34:42Z,2025-07-04T11:54:31Z,9,3,Foundation Builders,starter,General Development,Cross-Industry,"CloudFormation, Scripts",Production-Ready,Go,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,112,No,backstage,S3-Based Complete Analysis,2025-10-24T13:23:07.819278
awslabs/whiskey-jack,https://github.com/awslabs/whiskey-jack,An architecture diagram editor and code generator,2023-05-30T21:53:24Z,2025-05-13T21:09:11Z,15,1,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,163,No,,S3-Based Complete Analysis,2025-10-24T13:23:07.819689
awslabs/cis-matching-tasks,https://github.com/awslabs/cis-matching-tasks,A package for constructing confidence intervals for error rates in matching tasks such as 1:1 face and speaker verification. ,2023-06-01T18:58:13Z,2025-04-04T02:07:16Z,8,0,Innovation Catalysts,innovation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Maintained,203,Yes,"confidence-intervals, estimation, facial-recognition, matching-tasks, speaker-recognition, statistical-inference, uncertainty-quantification",S3-Based Complete Analysis,2025-10-24T13:23:07.819783
awslabs/ar-go-tools,https://github.com/awslabs/ar-go-tools,ar-go-tools (Argot) is a collection of analysis tools for Go,2023-06-05T15:13:35Z,2025-10-03T08:44:10Z,41,5,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,21,No,,S3-Based Complete Analysis,2025-10-24T13:23:07.819827
awslabs/osml-cdk-constructs,https://github.com/awslabs/osml-cdk-constructs,,2023-06-05T19:01:37Z,2025-10-23T19:21:32Z,8,1,Foundation Builders,innovation,General Development,Cross-Industry,"CDK, CloudFormation",Production-Ready,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,0,No,,S3-Based Complete Analysis,2025-10-24T13:23:08.346887
awslabs/osml-model-runner,https://github.com/awslabs/osml-model-runner,,2023-06-05T19:05:19Z,2025-10-16T20:35:33Z,10,4,Foundation Builders,innovation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,7,No,,S3-Based Complete Analysis,2025-10-24T13:23:08.867146
awslabs/osml-model-runner-test,https://github.com/awslabs/osml-model-runner-test,,2023-06-05T19:12:28Z,2025-09-10T20:48:22Z,3,0,Foundation Builders,innovation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,43,No,,S3-Based Complete Analysis,2025-10-24T13:23:09.406633
awslabs/osml-models,https://github.com/awslabs/osml-models,,2023-06-05T19:14:50Z,2025-10-17T15:47:03Z,4,0,Foundation Builders,innovation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,6,No,,S3-Based Complete Analysis,2025-10-24T13:23:09.930469
awslabs/osml-cesium-globe,https://github.com/awslabs/osml-cesium-globe,,2023-06-05T19:18:42Z,2025-10-16T21:41:18Z,5,1,Foundation Builders,innovation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,7,No,,S3-Based Complete Analysis,2025-10-24T13:23:10.457025
awslabs/osml-imagery-toolkit,https://github.com/awslabs/osml-imagery-toolkit,,2023-06-05T19:27:17Z,2025-10-23T15:50:48Z,20,3,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,0,No,,S3-Based Complete Analysis,2025-10-24T13:23:10.997723
awslabs/tensor-message-passing,https://github.com/awslabs/tensor-message-passing,,2023-06-13T05:44:03Z,2025-03-11T22:24:24Z,4,2,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Jupyter Notebook,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,226,No,,S3-Based Complete Analysis,2025-10-24T13:23:11.517026
awslabs/aws-iatk,https://github.com/awslabs/aws-iatk,,2023-06-13T19:13:48Z,2025-10-03T09:11:17Z,100,11,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,21,No,,S3-Based Complete Analysis,2025-10-24T13:23:12.055036
awslabs/aws-sap-automation,https://github.com/awslabs/aws-sap-automation,"Collection of scripts, that can be used with AWS Launch Wizard for SAP or standalone to automate SAP on AWS",2023-06-16T14:36:31Z,2025-10-21T20:15:27Z,13,5,Foundation Builders,readiness,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Shell,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,2,No,,S3-Based Complete Analysis,2025-10-24T13:23:12.055341
awslabs/iac-devtools-cli-for-cdk,https://github.com/awslabs/iac-devtools-cli-for-cdk,,2023-06-16T21:47:20Z,2025-10-24T05:27:31Z,37,2,Foundation Builders,enablement,General Development,Cross-Industry,"CDK, CloudFormation",Production-Ready,JavaScript,"TypeScript, Python",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,0,No,,S3-Based Complete Analysis,2025-10-24T13:23:12.580108
awslabs/apn-competency-helper,https://github.com/awslabs/apn-competency-helper,"APN Designations template folder structure and presentation, including APN Competency Program and APN Service Delivery Program",2023-06-22T19:13:35Z,2025-10-10T12:59:39Z,21,7,Foundation Builders,starter,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,14,No,"apn, aws, competency",S3-Based Complete Analysis,2025-10-24T13:23:12.580398
awslabs/amazon-timestream-odbc-driver,https://github.com/awslabs/amazon-timestream-odbc-driver,,2023-06-28T15:47:52Z,2025-04-04T02:06:56Z,6,4,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C++,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,203,No,,S3-Based Complete Analysis,2025-10-24T13:23:13.102280
awslabs/k8s-network-policy-migrator,https://github.com/awslabs/k8s-network-policy-migrator,"K8s Network Policy Migrator is a tool to migrate Calico or Cilium custom network policies to Kubernetes native network policy. The tool offers features like pre-migration checks, policy collection and conversion, as well as easy validate, apply, rollback, and cleanup options",2023-06-29T21:12:20Z,2025-09-11T23:29:32Z,32,1,Foundation Builders,compliance,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,42,No,,S3-Based Complete Analysis,2025-10-24T13:23:13.102578
awslabs/aws-dynasync,https://github.com/awslabs/aws-dynasync,Create an AWS AppSync GraphQL API and an Amazon DynamoDB database with a single command. Automate the building and provisioning of a GraphQL API using a single config file with AWS AppSync and Amazon DynamoDb to store the data.,2023-07-01T19:40:32Z,2024-03-11T14:57:28Z,6,2,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,DynamoDB,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,591,No,"api, appsync, appsync-graphql-api, database, dynamodb, graphql, schema",S3-Based Complete Analysis,2025-10-24T13:23:13.102675
awslabs/robustqa-acl23,https://github.com/awslabs/robustqa-acl23,,2023-07-07T02:09:28Z,2025-07-23T07:31:16Z,20,3,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,93,No,,S3-Based Complete Analysis,2025-10-24T13:23:13.628147
awslabs/unified-text2sql-benchmark,https://github.com/awslabs/unified-text2sql-benchmark,UNITE: A Unified Benchmark for Text-to-SQL Evaluation,2023-07-08T03:10:01Z,2025-10-14T14:09:46Z,81,2,Foundation Builders,assessment,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,9,No,,S3-Based Complete Analysis,2025-10-24T13:23:13.628447
awslabs/codetask-cl-pptf,https://github.com/awslabs/codetask-cl-pptf,,2023-07-11T23:09:22Z,2025-09-23T21:37:35Z,5,1,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Multiple,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,30,No,,S3-Based Complete Analysis,2025-10-24T13:23:14.151327
awslabs/amazon-dynamodb-local-samples,https://github.com/awslabs/amazon-dynamodb-local-samples,This is a sample Java project that demonstrates how to use DynamoDB Local for local development and testing,2023-07-19T18:28:02Z,2025-09-25T23:35:53Z,26,16,Foundation Builders,assessment,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SAM,DynamoDB,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,28,No,,S3-Based Complete Analysis,2025-10-24T13:23:14.151687
awslabs/vqa-generate-then-select,https://github.com/awslabs/vqa-generate-then-select,,2023-07-21T17:15:12Z,2024-07-15T07:34:23Z,3,1,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,466,No,,S3-Based Complete Analysis,2025-10-24T13:23:14.671362
awslabs/extending-the-context-length-of-open-source-llms,https://github.com/awslabs/extending-the-context-length-of-open-source-llms,,2023-07-26T23:33:46Z,2025-10-04T14:20:58Z,55,6,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,19,No,,S3-Based Complete Analysis,2025-10-24T13:23:15.184454
awslabs/git-branching-strategies-for-multiaccount-devops,https://github.com/awslabs/git-branching-strategies-for-multiaccount-devops,,2023-07-27T14:39:18Z,2025-10-07T15:51:51Z,26,7,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Multiple,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,16,No,,S3-Based Complete Analysis,2025-10-24T13:23:15.708631
awslabs/data-solutions-framework-on-aws,https://github.com/awslabs/data-solutions-framework-on-aws,An open-source framework that simplifies implementation of data solutions. ,2023-08-03T08:10:24Z,2025-09-06T20:38:11Z,143,27,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,47,No,,S3-Based Complete Analysis,2025-10-24T13:23:15.708950
awslabs/static-checker-flink,https://github.com/awslabs/static-checker-flink,Maven plugin to detect known connector incompatibility and other Apache Flink issues at build time,2023-08-03T16:27:19Z,2024-07-17T11:01:22Z,4,2,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,464,No,,S3-Based Complete Analysis,2025-10-24T13:23:15.709033
awslabs/aws-iam-access-analyzer-policy-validation-config-rule,https://github.com/awslabs/aws-iam-access-analyzer-policy-validation-config-rule,,2023-08-04T16:07:54Z,2025-07-23T13:55:21Z,8,1,Foundation Builders,compliance,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,92,No,,S3-Based Complete Analysis,2025-10-24T13:23:16.222334
awslabs/managed-service-for-apache-flink-blueprints,https://github.com/awslabs/managed-service-for-apache-flink-blueprints,,2023-08-09T21:19:22Z,2025-08-21T03:35:10Z,21,11,Foundation Builders,starter,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,64,No,,S3-Based Complete Analysis,2025-10-24T13:23:16.736524
awslabs/osml-tile-server,https://github.com/awslabs/osml-tile-server,,2023-08-10T10:53:58Z,2025-09-09T21:28:03Z,8,0,Foundation Builders,innovation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,44,No,,S3-Based Complete Analysis,2025-10-24T13:23:17.251635
awslabs/simple-code-scanning-pipeline,https://github.com/awslabs/simple-code-scanning-pipeline,,2023-08-15T18:18:21Z,2025-04-29T12:24:01Z,19,3,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,178,No,,S3-Based Complete Analysis,2025-10-24T13:23:17.774340
awslabs/hypergraph-tabular-lm,https://github.com/awslabs/hypergraph-tabular-lm,,2023-08-22T13:16:45Z,2025-10-17T12:03:09Z,29,3,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,7,No,,S3-Based Complete Analysis,2025-10-24T13:23:18.289277
awslabs/aws-crt-s3-benchmarks,https://github.com/awslabs/aws-crt-s3-benchmarks,Benchmarking for multiple AWS S3 libraries.,2023-08-24T17:57:05Z,2025-09-14T05:23:29Z,13,6,Foundation Builders,assessment,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,S3,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,40,No,"aws, s3",S3-Based Complete Analysis,2025-10-24T13:23:18.289585
awslabs/aws-serverless-prometheus-push-gateway,https://github.com/awslabs/aws-serverless-prometheus-push-gateway,  AWS Serverless Prometheus Push Gateway enables you to push metrics into Prometheus from any source without modifying your application or running an always-on service for Prometheus to scrape.,2023-08-25T15:38:30Z,2024-08-28T10:33:54Z,6,0,Foundation Builders,visibility,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS CDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,422,No,"aws, cdk-constructs, opentelemetry, prometheus, serverless",S3-Based Complete Analysis,2025-10-24T13:23:18.289670
awslabs/aws-glue-apache-hudi-operational-data-processing-framework,https://github.com/awslabs/aws-glue-apache-hudi-operational-data-processing-framework,Operational Data Processing Framework developed using AWS Glue and Apache Hudi. This framework is suitable for Data Lake and Modern Data Platform implementations on the AWS Cloud.,2023-09-02T02:27:41Z,2025-07-13T23:18:15Z,23,1,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,102,No,,S3-Based Complete Analysis,2025-10-24T13:23:18.289725
awslabs/dqdl,https://github.com/awslabs/dqdl,,2023-09-05T14:42:41Z,2025-08-13T21:20:20Z,19,4,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,71,No,,S3-Based Complete Analysis,2025-10-24T13:23:18.802057
awslabs/generative-ai-cdk-constructs,https://github.com/awslabs/generative-ai-cdk-constructs,AWS Generative AI CDK Constructs are sample implementations of AWS CDK for common generative AI patterns.,2023-09-14T01:11:58Z,2025-10-23T01:28:12Z,502,70,Innovation Catalysts,foundation,"Machine Learning, Data & Analytics",Cross-Industry,"CDK, CloudFormation",Production-Ready,TypeScript,"Python, JavaScript","AWS CDK, AWS SAM",General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,1,Yes,"agent, amazon-bedrock, appsync, aws, aws-cdk, content-generation, generative-ai, huggingface, knowledge-base, langchain, llm, opensearch, question-answering-system, retrieval-augmented-generation, sagemaker, step-functions, summarization",S3-Based Complete Analysis,2025-10-24T13:23:18.802354
awslabs/operatorpkg,https://github.com/awslabs/operatorpkg,,2023-09-18T22:23:36Z,2025-10-17T17:08:41Z,27,21,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,6,No,,S3-Based Complete Analysis,2025-10-24T13:23:19.314935
awslabs/the-qubit-factory,https://github.com/awslabs/the-qubit-factory,A puzzle/construction game about quantum computing.,2023-09-19T20:24:07Z,2025-10-08T06:39:26Z,30,4,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,HTML,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,16,No,"computing, puzzle-game, quantum, quantum-computing, qubits, zachtronics",S3-Based Complete Analysis,2025-10-24T13:23:19.315261
awslabs/privacy-adhering-machine-unlearning-nlp,https://github.com/awslabs/privacy-adhering-machine-unlearning-nlp,,2023-09-19T21:23:54Z,2025-06-15T22:40:54Z,2,0,Foundation Builders,guidance,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,130,No,,S3-Based Complete Analysis,2025-10-24T13:23:19.828106
awslabs/llrt,https://github.com/awslabs/llrt,"LLRT (Low Latency Runtime) is an experimental, lightweight JavaScript runtime designed to address the growing demand for fast and efficient Serverless applications.",2023-09-20T12:57:50Z,2025-10-23T12:23:34Z,8625,378,Foundation Builders,enablement,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Rust,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Full-day Setup (4-8 hours),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Highly popular community solution (8625+ stars),Active,1,No,,S3-Based Complete Analysis,2025-10-24T13:23:19.828435
awslabs/mountpoint-s3-csi-driver,https://github.com/awslabs/mountpoint-s3-csi-driver,"Built on Mountpoint for Amazon S3, the Mountpoint CSI driver presents an Amazon S3 bucket as a storage volume accessible by containers in your Kubernetes cluster.",2023-09-22T18:56:32Z,2025-10-23T16:13:18Z,343,63,Innovation Catalysts,innovation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,S3,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,0,Yes,"aws, csi-driver, filesystem, fuse, kubernetes, s3",S3-Based Complete Analysis,2025-10-24T13:23:19.828492
